date      Food   Beer   Smoke  Games  Books  Hshld  Clths  Hlth   Chems  Txtls  Cnstr  Steel  FabPr  ElcEq  Autos  Carry  Mines  Coal   Oil    Util   Telcm  Servs  BusEq  Paper  Trans  Whlsl  Rtail  Meals  Fin    Other
196405   1.68   1.47  -0.19  -3.86   1.47   2.21   1.95   0.53   2.34   5.70   0.26   1.21   2.11  -1.11   1.79   4.46   1.01   0.64   2.18   0.84  -0.39  -3.31   2.84  -0.94   5.94   0.09   4.17  -0.24  -0.03   0.02
196406   2.33   0.49  -1.54  -1.07   3.82   0.18   4.12   0.59  -0.57  -0.39   0.29   0.90   3.88  -0.16   1.52   3.11  -1.06  -2.34   0.71   2.20   4.70   5.95   0.44   0.97   3.84   3.46   3.93   2.49  -1.17  -1.40
196407   1.23   7.90   0.41   0.28  -0.25   0.72   4.02   4.76   2.16   5.81   1.39   0.62   1.95   7.68   5.43   5.93   2.59   1.41   3.37   4.91  -2.00   3.16  -1.91   0.61   0.23   2.62   1.09   0.94   1.89   2.94
196408  -1.30  -1.87   6.60  -3.34  -1.39  -1.47  -0.89  -4.22  -2.26  -1.78  -1.64  -0.07  -0.80   2.75   1.78   3.15   0.26  -0.50  -1.88  -0.01  -1.55   3.52  -2.89  -2.09  -5.78  -4.63   0.59  -3.57  -2.18   0.77
196409   1.97   1.65  -1.97   5.59   2.25   5.72   3.84   2.73   5.35   4.33   0.05   5.50   3.35   4.06   5.19   5.62  10.69   5.32   3.05   1.87  -1.01   0.84   1.18   4.33   4.78   2.59   3.49   3.81   2.48   4.22
196410  -1.17   2.40  -2.06   0.88   2.49  -1.15   0.72   2.88   0.93   7.31   2.17  -2.62   2.16   6.04   0.19   0.63   0.14   0.04   3.12   0.95  -0.90   1.62  -1.03   2.92   4.24   1.16   2.31   5.78  -0.69  -0.25
196411   1.22  -1.41  -1.63  -1.94   1.78   0.95   2.85   2.17   2.35   0.38  -0.70  -4.82   1.44   0.71  -2.70   0.54   0.29   0.97   2.59   1.37  -2.20  -2.18  -0.19  -2.87  -3.54   1.95   3.35   1.11  -0.89   0.96
196412   1.18  -0.18  -4.68  -1.38   0.92   0.68  -0.35   4.38   0.46   0.63  -1.04  -1.71  -2.80  -2.72   1.94   0.06  -1.15   1.76  -0.27   0.50   3.09  -0.42  -0.01  -1.36  -2.47   0.75   0.08  -0.34  -1.23  -3.91
196501   5.04  12.15   5.37   8.44   8.68   6.52   7.51   7.66   5.68   8.44   5.45   4.91   4.25   9.84   2.92   2.77   8.25   3.73   0.45   3.96   0.28   7.99   7.43   5.53   4.74   5.57   2.74   9.47   2.71   5.19
196502   1.32   1.90  -0.04   5.07   1.35   2.78   6.30   2.42   0.91   2.28   3.26   2.98   6.00   5.18  -1.26   3.53   4.77  -0.51  -3.43   0.43   0.80   3.18   2.16   0.14   2.61   2.93   1.35   3.02   1.27   5.87
196503  -1.46   0.59  -0.90   3.75   2.87  -1.90   0.82  -0.93  -3.01   0.84   0.26   0.03  -2.53  -0.75   1.91   0.87  -0.65  -0.10  -3.10  -0.52  -1.69   3.25  -0.47   0.97  -0.50   0.78  -0.93   0.30  -0.28   4.72
196504   2.87   5.52   5.61   3.87   5.54   5.78   4.82   2.98   1.94   8.98   2.74   5.21   5.10   5.15   7.34   7.74   4.07  -2.07   0.90   0.65   2.33   4.28   5.22   3.36   0.86   5.89   7.03   3.14   2.61   2.51
196505  -0.93  -0.31  -1.65   2.01   0.55  -0.51   0.86  -1.24   0.53  -1.22  -0.76  -0.74  -2.51   0.79  -4.25   0.21  -2.12  -2.48   0.94  -0.97   2.75  -2.92   0.58  -1.82  -0.80  -0.85   0.38  -3.06  -2.36  -1.52
196506  -4.33  -4.56  -3.40  -9.69  -6.39  -5.36  -9.12  -5.31  -5.75  -7.94  -7.08  -6.86  -6.27  -7.96  -7.18  -7.15  -9.98  -5.99  -1.89  -3.66  -4.18  -9.15  -5.63  -6.24  -6.86  -9.34  -6.13  -6.72  -4.94 -11.70
196507   1.22  -0.36   1.74   5.70   3.56   4.46   2.36   3.95   0.06   2.97   0.57   3.11   1.66   4.69   1.64   9.64   7.75   1.92   1.81   1.06  -0.38   4.19   3.47  -0.22   4.64   5.47  -1.83   1.33   1.13   7.43
196508   1.77   3.77   9.46   6.74   7.20   6.53   6.64   6.29   1.53   6.06   2.60   2.74   4.07   6.55   2.53   2.98   3.37   3.27   1.52   0.92   1.33   3.63   6.05   2.70   6.48   5.21   2.11   5.20   4.59   5.10
196509   0.21  -0.32  -2.65  11.60   2.42   5.89   1.98   2.24   3.94   4.96   2.40   2.08   6.04   5.21   4.86  10.63   0.58   0.32   4.45   1.39   1.09   4.16   5.47   3.47   3.14   7.55  -1.14   4.37  -0.15   4.09
196510   0.99   2.54   4.42  11.63   6.01   4.34   4.61   3.23   2.87   5.29   4.45   5.27   5.50   5.78   6.60   7.74   4.44  15.55   1.58   1.05  -2.29   4.49   5.26   2.60   6.68   3.46   0.04   5.17   1.08   2.64
196511   0.27   0.94  -4.65  11.49   7.46   0.93   2.16   3.80  -1.91   7.64   0.84  -4.37   5.45   8.25  -5.00  15.23   2.35  -0.81   0.74  -1.00  -4.32   2.30   2.44   1.88   6.53   5.81   1.14   2.18   1.04   9.45
196512   1.02   2.64  -1.02   3.93   3.62   4.42   2.14   3.83   2.38   1.68   1.93   8.10   1.94  -0.48   0.88  -1.91   8.74   0.70   0.15  -0.31  -0.86   8.22  -1.60   1.92   2.40   3.75   1.19   4.00   1.99  -0.88
196601   0.15   1.25   2.90  10.89   1.76   2.06   4.25   2.74  -0.78   8.38   3.68   4.35   2.66   4.07   0.26   9.27  12.12   1.11   1.02  -3.02  -1.30   2.46   1.08   4.61   7.16   7.00  -5.18   3.07   0.51   3.74
196602  -0.88  -2.85  -2.32   7.43   0.44  -0.68   3.04  -1.55  -1.92   0.44  -0.83  -1.90  -0.99   1.23  -1.62  -0.64   9.43  -0.02  -3.56  -4.17   0.48   2.49   5.36  -0.41   3.44   2.31  -2.16  -1.41  -2.09   0.68
196603  -2.36  -4.14  -3.39   2.81   2.86   2.58  -3.35  -1.60  -4.55  -4.47  -3.00  -2.30  -1.70   0.89  -5.22  -1.37  -4.28   0.17  -2.29  -0.14  -4.84  -3.15  -0.94  -3.79  -1.84  -2.96  -2.24   3.13  -4.09  -2.60
196604  -0.90   3.20  -1.08   5.77   3.83   5.49   2.89  -0.02   0.31   0.80   1.67   1.73   1.30   3.77  -1.37   3.76   3.10   0.92   3.18   1.19   1.26   3.37   7.69   4.33   4.51  12.06   2.51   6.95   1.30  10.16
196605  -3.67  -6.27  -3.88 -13.71  -5.42  -5.86  -7.93  -5.25  -4.56  -8.65  -5.81  -7.91  -5.96  -8.61  -6.68  -8.53  -8.17  -2.54  -3.75  -2.73  -2.98 -10.98  -6.03  -5.01  -9.69  -9.89  -2.49  -4.37  -3.89  -9.89
196606  -3.04   3.29  -1.99  -5.15   2.42   0.91  -1.94   0.99  -3.88  -1.98  -2.02  -0.89  -1.26  -2.81  -1.53   1.05  -0.07  -8.51  -2.15  -1.78   0.49  -0.51  -0.13  -0.67   3.44   1.14  -2.64   0.71  -2.13  -0.80
196607  -0.40  -3.96  -0.45  -3.19  -0.80  -2.39  -1.71  -1.72  -1.16  -5.16  -1.44  -4.08  -3.35  -5.36   0.44  -7.18  -0.40   3.34   0.35  -0.18  -1.17  -4.02  -1.71   1.48  -2.43  -3.26  -1.83  -2.88  -2.07  -4.71
196608  -6.07  -6.86  -5.46  -3.06  -9.18  -8.29 -10.37  -8.07  -9.04  -9.78 -10.23  -7.49  -7.30  -9.00  -7.67  -7.89 -13.09   4.76  -6.56  -8.59  -4.60  -9.39  -5.88  -5.56 -13.26 -10.99  -5.96 -10.16  -8.82  -9.01
196609  -1.04  -3.47   0.38 -12.10   0.75  -2.75  -1.74  -1.13  -7.21  -6.91  -2.30  -2.29  -5.34   0.30   0.79  -3.72  -2.90   3.90   3.96   4.36  -0.57  -3.30  -1.88  -1.18  -2.13  -2.23  -1.73  -9.12  -0.05  -3.88
196610   8.23   4.39   6.85  -6.54  -0.49   3.85  -2.68   4.87   1.91  -6.16   1.17   6.77   2.63   2.51   0.00  -1.72  -1.61  -1.62   8.58   9.94   9.19  -2.75   0.45   1.36  -0.37   1.13  -1.45  -3.92  10.42  -4.64
196611   2.39   6.70  -3.94   3.66   9.37   7.35   4.17   6.89  -1.68  -2.49   4.62  -0.26   1.36   7.61  -6.87  14.94  10.06   6.15  -1.23  -1.36  -2.84   6.71  10.99   1.15  10.82   8.84   0.30   2.31   3.04   7.27
196612  -0.53   3.30  -1.55  -4.54   3.03  -1.23  -0.80  -0.17   2.16   2.48   2.21   3.26   1.19  -2.86  -0.61   1.97   2.11   7.19  -0.75   2.10   2.98   3.73   0.37  -0.21   0.55   1.41  -4.80   5.96   3.48   9.36
196701   6.37   9.98  16.41  18.50  11.62   6.16  11.24   6.41  11.81  13.04  14.98  15.43  13.30  16.17  13.94  11.08  12.86   7.02   3.53   2.84   6.23  19.59   9.85   8.94  12.44  16.71  11.55  15.20   9.05   8.24
196702   1.63   3.76  -3.31   1.40   5.03   4.48   3.32   1.42  -0.75   3.80   2.51  -3.40  -1.54   5.05  -1.07   2.04  -1.60   3.10  -0.12  -1.72   2.15   0.15   6.29   1.28  -1.04  11.40   2.57   5.79   0.19   5.77
196703   3.57   8.31   4.91  -0.38   7.59   3.99   3.97   7.83   3.84   2.11   8.61   5.16  11.45   4.19   5.84   7.43   4.29   9.84   3.50   1.53   2.94   4.45   5.31   7.00   3.70   4.21   1.97  15.50   1.26   2.60
196704   4.15   6.11   3.46  10.78   6.26   4.66   2.88   4.46   5.67   7.07   3.88   3.17   5.06   5.05   9.31   5.37   5.80   5.77   1.64   1.88   0.19   7.81   7.93   1.96   0.93   2.66   9.78   9.23   0.44   1.81
196705  -1.57  -5.43  -7.55  -7.35  -3.62  -5.57  -0.05  -5.29  -5.63  -2.17  -5.40  -1.92  -2.64  -3.49  -6.47   0.02   1.35  -0.50  -2.44  -4.11  -5.67  -1.37  -4.70  -3.14  -1.67   3.40  -5.46   1.58  -2.42   0.63
196706   3.93   4.14   6.64  10.58  -5.83   1.54   4.67   5.38  -0.28  -0.88   4.46   1.47   4.37   6.64   0.90  10.76   5.35   6.60   2.22  -1.31   2.72   9.35   6.19  -1.36   1.21   8.38   3.38  13.24   3.76   7.18
196707   5.76   2.69   8.33   6.58   4.58   6.45   4.98   3.79   4.17   8.33   7.21   7.75   5.80   8.98   8.69   4.31  14.04   3.24   6.96   2.33  -6.62   7.19   3.81   4.24   7.30   5.22   6.21   1.65   6.98   8.72
196708  -1.67   0.56  -4.88   0.76  -0.65  -0.44   5.34   0.66  -0.32   2.53   2.86   0.75   0.16   3.33  -0.71  -4.04  -3.37   0.48  -1.50  -0.65  -1.25   2.25  -0.90  -1.13  -2.46   2.67   0.40  -0.38   2.11  -5.08
196709   2.63  -1.43  -1.81   6.01   2.19   3.37   7.78   2.89   5.65  10.47   3.33   0.23   4.25   5.66   5.27  -2.64   6.69   4.97   4.19  -0.09   1.20   8.17   8.59   2.84  -3.47   6.42   1.79   9.12   3.18   5.89
196710  -3.39  -3.23   3.39  -0.10  -6.49   0.35   1.01  -5.01  -6.52  -3.03  -5.13 -10.04  -6.25  -2.91  -5.43  -4.09  -6.63  -0.21  -1.02  -5.36  -3.49   4.51   5.14  -4.87  -9.27  -0.26   0.63   9.81  -4.03  -4.78
196711   0.80  -0.82  -5.16  -4.13   3.38   2.70   2.76   1.33  -2.84  -0.82  -1.83  -0.11  -0.12   0.62   0.79   2.36   1.50  -3.01   0.84   3.17   0.09   0.88   1.38  -0.20  -0.11   0.36   0.66   8.30  -1.44  -1.64
196712   2.72  -0.37   8.04   2.76   0.05   2.18   7.33   1.62   5.97   1.80   5.90   4.77   4.26   4.88   4.04   4.81   5.48   6.08   3.04   3.28   0.13  15.85   1.71   6.10   2.20  11.61   2.69   7.62   7.31   5.40
196801  -1.04  -0.82  -0.06  -3.97  -3.98 -10.33   0.85  -6.57  -4.97   2.36   0.02  -4.75  -3.64  -9.00  -4.37 -11.08  -3.18   2.45  -0.95   0.20   2.69  -2.09  -8.71  -3.59  -6.49   1.80   1.31  -3.76   2.98  -0.24
196802  -2.31  -1.48   1.16  -5.44  -5.16  -2.84  -5.46  -4.24  -4.36  -2.00  -3.87  -4.21  -6.41  -4.36  -3.02  -3.77  -0.47  -6.98  -2.59  -1.48  -2.40  -7.78  -4.33  -4.23  -3.43 -11.09   0.07  -7.63  -2.95  -7.69
196803   0.37   2.27  -1.79   5.42   2.11   3.49   3.94   0.10  -0.52  -1.21   0.33  -0.69  -0.79  -0.79  -0.47   0.57  -1.12   4.56   0.70  -3.93  -1.12  -0.22   4.39   2.08  -1.45  -1.87   3.10   2.49   0.91  -1.27
196804  10.57   5.60   5.55  16.98  14.11  11.13  14.63  11.90   7.94  12.59  15.14   7.19  11.93  14.74  11.79  11.06   6.62  13.17   5.61   2.49   2.22  18.94  12.25  12.67  11.96  16.38  11.94  18.36  11.45  16.15
196805   5.27   3.88   0.52   6.30   3.42   2.25   6.78   3.34  -0.82   5.40   5.42   5.16   3.31   1.83   0.60   1.34   3.70  11.01   1.16   0.45  -0.74   3.96   3.73   5.45   6.42   9.65   2.78  13.75   6.67   6.18
196806   1.07   2.06   4.30  -4.84  -0.32  -2.15   3.91   2.25   0.89  -1.93  -0.96   0.64   0.54  -1.52  -0.40  -1.88  -0.05   0.49   1.85   8.44   4.15   0.54  -1.91   1.28   1.45  -0.43   0.56   0.48   7.83  -2.36
196807  -4.29   0.70  -1.39  -4.12  -6.47  -5.40  -2.94  -4.10  -1.05  -4.06  -0.17  -6.85  -4.57  -4.04  -2.32  -6.79  -6.61  -2.00   5.35   0.17  -0.19  -5.01  -5.58  -2.15  -4.92  -8.11  -5.00  -6.64   0.82  -5.03
196808   2.07   7.73  -3.19   4.55  -0.12   2.14   5.03   0.68   2.55   8.82   8.05   1.69   4.05   0.97   1.56   0.63  -1.73  -1.48   1.27  -0.87   1.26   0.12   0.53   6.31  -0.14   0.31   2.33   5.88   5.70   4.77
196809   3.86   5.00   5.70  12.84   4.97   1.95   3.86   0.85   6.98   7.48   5.03   7.78   4.99   4.13   7.05   2.47   3.91   7.04   3.51   0.27   2.95  10.13   2.81   4.17  11.40   9.04   7.74   7.98   9.22   8.97
196810   1.02  -5.03   1.57  -0.53   3.43   0.82   1.69  -0.05   2.23   2.13  -1.99   2.87   1.41  -0.82   3.99  -1.49  -0.95  -4.96   2.61   0.49   3.17   0.30  -5.11   5.12  -0.31   3.94   0.38   6.74   3.02  -1.81
196811   5.58   5.21   3.04   6.38   1.57   6.97   4.55   8.10   4.82   5.21   6.48   5.37   4.82   5.32  -2.34   7.86   9.76   9.38   5.50   8.79   5.39   6.50   8.68   5.87   7.86  10.80   4.59   9.57   6.44   9.51
196812  -1.70  -0.55  10.29  -4.22  -4.95  -6.97  -1.29  -1.03  -2.60  -3.48  -1.83   0.69  -2.45  -5.40  -3.96  -2.70   2.90   0.16  -2.59  -2.88  -6.64  -4.37  -5.48  -2.87  -3.92  -0.95  -4.97   1.61  -6.24   0.03
196901  -0.74  -0.46   3.64  -2.35  -4.45   0.09  -0.61  -0.23  -1.62  -4.26  -1.53   2.82  -0.63  -1.81  -1.41  -3.01  -2.89   0.97  -1.15   2.41   1.20   2.25  -4.79  -1.79   3.01  -1.66  -0.74  -0.97   0.07  -3.59
196902  -5.64  -5.03  -9.50  -6.82  -7.00  -4.65  -9.54  -5.14  -5.63  -8.01  -5.94  -8.49  -6.28  -4.01  -2.57  -7.77  -7.02  -7.28  -4.58  -5.20  -3.32  -9.75  -3.42  -4.29  -8.24 -13.44  -2.85 -11.86  -8.79  -9.51
196903   1.05   1.68  -1.71   0.89   3.69   2.20   1.18   3.34   0.31  -3.27   4.38   2.90   2.69   3.45   4.81  -1.42  -1.08  -5.89   7.20  -1.29  -0.42   2.25   5.64   8.35  -3.17   3.37   5.64   3.42   3.56   1.34
196904   2.14   1.14  -1.98   5.91   0.00   5.02  -1.39   4.98  -1.19  -0.19   2.28   0.59  -0.78  -0.95  -0.03  -3.70   1.06 -10.59  -0.27   1.34   7.73   1.94   4.04   3.64  -1.43   3.44   3.73   6.68   2.91  -0.44
196905   1.64   2.97   1.71  -3.54   2.04   0.16  -1.93   1.66  -0.52   0.90  -0.68  -2.89  -0.70  -0.52   0.67  -6.84   1.80   0.40   3.72   0.02   1.06  -1.99  -1.70  -0.18  -2.02  -4.58   0.91   3.02  -1.19  -0.26
196906  -6.03  -8.04  -5.50 -12.68 -10.63  -1.69  -8.68  -5.03  -7.54 -10.25 -11.89 -10.31  -8.95  -6.37  -5.97  -9.08 -12.81 -10.35  -9.89  -5.74  -3.98  -9.88   0.15  -9.88  -8.18 -16.88  -4.24 -10.03 -10.28 -11.93
196907  -6.09  -2.07  -4.76  -8.60 -10.86  -3.46 -12.05  -2.73  -4.22  -6.23  -7.07  -6.52  -6.45  -8.63  -7.76 -12.87  -9.83   5.58  -9.73  -2.98  -4.49  -7.43  -5.28  -2.54 -12.52  -9.94  -8.28 -10.06  -8.69 -10.88
196908   4.79   6.67   3.99   8.06   9.10   4.75   2.51   9.20   3.31   4.19   8.47   0.39   2.95   4.61   2.79   5.66   5.10   4.78   6.60  -1.29   1.66   9.73   7.03   5.78   5.56   6.31   8.29   8.83  10.58   3.08
196909   0.99  -0.93   4.14   1.55  -0.18  -0.54  -2.70   2.17  -5.45  -3.05  -3.48  -1.04  -2.97  -1.75  -0.91  -4.71   2.02  -0.55  -9.71  -4.14  -4.00   2.08   0.35  -0.01  -1.62   0.34  -0.82  -1.53  -0.74  -0.92
196910   7.77  11.63  12.42   8.56   7.86   6.39   7.31   8.97   4.53   6.76   8.72   8.16   4.72  10.67   4.94   6.24   1.25  10.76  -1.17   8.28   3.50  11.64   5.51   5.61   4.76  11.20   6.32   9.06   9.09   8.08
196911  -1.92  -2.82   0.61  -6.70  -4.18  -2.43  -3.09   0.34  -4.57  -4.25  -3.77  -4.58  -3.33  -3.43  -4.12  -8.49   0.05   3.98  -4.57  -5.26   1.18  -2.67  -1.78  -1.66  -7.96  -6.71  -4.12  -2.00  -6.84  -6.65
196912  -0.44  -0.61  -1.94  -5.46  -3.07   0.96  -6.04   4.30  -3.66  -5.63  -3.31  -1.30  -2.27  -2.55  -3.18  -5.97  -3.99   5.11  -3.07  -0.65  -5.51   0.13  -0.62  -3.03  -8.00  -3.94  -2.93  -4.45  -2.28  -5.46
197001  -2.74  -1.35  -6.99  -7.14 -11.45  -6.90  -5.09  -7.11  -6.77  -4.66  -9.25  -5.71  -6.41  -6.29  -8.75 -11.89  -1.74  -0.17 -11.56  -4.23  -2.56 -10.55  -9.13  -8.89  -7.57  -7.68  -5.73 -11.86  -9.20  -5.60
197002   5.42   6.87   0.28   6.90   1.29   0.28   3.22   5.57   3.76   5.01   8.73  11.01   6.32   8.30   7.67   5.39   5.96  16.82   5.22   8.36   7.95   2.73   2.92   8.11  10.43   1.81   5.79   5.43  11.35   4.05
197003  -0.93  -0.60   1.42  -2.70  -3.26  -0.96  -1.09  -5.10   0.83   1.12  -1.37   0.81   2.53   2.42   4.75  -2.33  -1.49  -3.29  -0.38   2.91   2.29  -4.96  -2.53   0.57  -3.34  -5.28  -0.98  -7.52  -0.76  -2.19
197004 -10.14  -9.41  -2.82 -20.63 -15.56  -7.92 -14.35 -10.12  -4.31  -7.61 -10.54  -9.43 -11.51  -8.38  -9.06 -14.33 -13.39 -14.70  -9.07  -8.06  -8.79 -21.70 -14.29  -8.91 -11.98 -20.56 -10.13 -18.27 -12.81 -14.25
197005  -7.27  -6.10   3.54  -9.75 -16.08  -8.24 -10.19  -7.74  -2.84 -10.31  -9.39  -9.37  -9.59  -8.46  -4.99  -8.73  -3.52   5.87   2.62  -5.36  -3.74 -11.09  -9.62  -7.08  -7.05 -11.59  -9.49 -12.19  -8.37 -10.89
197006  -0.62  -2.66   6.67  -9.56  -9.57  -5.03  -7.11  -0.48  -1.58  -2.53  -5.74  -6.48  -4.74   0.64  -3.02 -10.82  -1.16  -3.03  -2.43  -4.70  -8.48  -8.27 -11.89  -6.14 -15.33  -6.96  -3.81  -7.10  -4.62  -9.49
197007   5.59   6.75   3.50   8.50  12.43   4.58   8.26   2.14   8.53  10.62   9.79   3.53   3.64   5.36   8.69   4.35   2.32   6.33  12.84   8.71  10.27   6.76   2.29   7.67   8.37   4.51  11.72   1.24   8.85   9.42
197008  -0.23  -2.70   0.64   8.77   5.99   4.23   7.25   1.80   5.29   4.54   3.77   0.00   4.48   2.45   9.08   9.91   4.57  -2.93   6.62   4.67   2.50   3.37   8.09   7.31   8.39   6.60   5.13   6.94   5.00   6.16
197009   4.95   4.48   0.52  10.41   7.40   6.40  12.06   8.01  -1.23   5.96   7.42   4.19   8.05   3.15   1.57   8.98   8.18  24.10   3.05  -0.54  -0.93  14.38  10.01   0.89   9.04  16.06   6.87  16.16   5.25   6.56
197010   1.11  -1.02  10.36  -4.23  -2.23  -0.18  -3.63   0.31  -4.08  -1.86  -4.03  -4.98  -3.55   0.11  -2.82  -9.95  -4.78   6.32   2.93  -0.80  -3.75  -5.92  -3.50  -3.78  -5.02  -7.67  -0.93  -3.85  -7.27  -8.75
197011   5.75  -0.85  10.05   7.83   2.22   4.88   2.50   2.97   4.59   2.71   1.59   1.94   3.34   3.73   8.16   4.58  -1.74   8.88   4.85   9.39   6.11   3.03   4.04   0.48   3.60  -1.11   7.75   4.13   5.95   6.34
197012   6.28   4.29   2.67   4.43  12.74   5.67  14.13   5.34   9.83  13.33   9.23   7.44  12.09   3.68   6.19   5.58   5.72   5.59   2.23   7.13   6.85   3.85   4.46   9.40  10.57  11.13   4.92   6.89   9.59   8.35
197101   2.73   4.51   5.75  11.53   5.59   5.15  12.63   4.92   7.00   6.27   6.21   4.29   8.02   7.52   1.96  16.60   5.89   3.37   0.31   2.95   9.75   8.62   5.33   4.66  15.83  13.94   7.87   7.78   5.22  14.19
197102   2.36   1.66   5.07   5.90   7.11   1.69   6.05   1.31   1.79   6.36   0.22  -0.12   1.20   7.12   0.19   4.26   3.35   3.75   4.76  -2.58  -5.30   3.76   2.75   2.08   2.76   1.88   3.62   6.09   1.87   2.82
197103   4.09   2.66   9.61  11.13   4.47   6.36   4.29   3.68   3.17  -0.38   0.84   3.99   3.77   2.05   2.57   3.34   6.19   8.89   2.61   2.39   0.73   7.67   8.10   3.31   3.04   9.18   6.37   9.87   7.20   1.86
197104   1.76   1.50   1.73   6.62   5.40   3.82   2.82   4.23   6.44  -0.03   4.37   2.81   5.32   8.90   8.69   6.50   3.98   2.83   4.37  -3.54   0.82   2.35   2.29   1.97  11.61   1.60   5.54   2.83   2.28   6.70
197105  -1.51  -1.69  -7.71  -0.78  -6.34  -1.07  -4.10  -2.13  -0.84  -3.56  -5.28  -3.69  -4.23  -2.82  -4.88  -3.75  -2.01  -7.81  -4.63  -3.69  -5.21  -3.94  -6.23  -3.03  -3.67  -3.10  -1.98   2.20  -5.40  -7.20
197106   1.12   1.11   0.06   0.92  -0.68   3.37  -1.79   2.05  -0.23  -6.39  -2.81  -4.75   0.17   1.70  -1.29  -1.25  -1.51   5.42   0.99   4.29   1.05   0.67  -2.36  -1.40  -3.32   2.08  -0.05   3.25  -0.03  -3.29
197107  -0.84  -3.13   0.53 -10.00  -2.49  -5.82  -6.66  -2.17  -4.12  -4.49  -3.53  -7.54  -4.79  -6.86  -3.15  -7.92  -4.21 -11.18  -2.03  -2.15  -3.69  -9.74  -8.69  -3.75  -5.94  -6.05  -2.90  -6.94  -1.88  -7.54
197108   2.09   1.34   2.53   8.67   3.96   6.75   6.46   3.15   7.91   7.68   6.98   8.63   9.06   9.54   9.83   4.95  -3.68   4.15  -1.26  -2.33  -0.24   3.34   5.64   1.91  16.12   4.34   6.26   4.84   6.72   3.96
197109   0.49  -0.76  -2.87  -3.28   1.66   1.59  -0.22   0.66   0.08  -0.36   1.77  -7.37  -1.10   1.18   0.23  -0.31  -2.55  -8.04  -1.59  -1.49   0.27  -0.94  -1.62  -1.72  -0.44  -0.30   0.57   0.63  -0.27   3.16
197110  -3.27   1.00  -8.78  -6.51  -3.32  -4.21  -4.31  -2.47  -6.72  -8.57  -5.97 -10.21  -8.43  -6.72  -5.65  -6.32 -13.56  -9.61  -4.29   2.04  -1.83  -5.59  -4.37  -4.49  -1.93  -3.68  -3.50  -2.54  -2.29  -3.85
197111   0.59   0.69   1.69   0.86  -4.65   1.71  -2.23   0.69  -1.43  -5.17  -3.97  -2.53  -2.46  -2.07  -0.56  -1.47  -3.90  -3.74   0.06  -1.22   0.43  -0.63   1.85  -1.65  -0.51  -2.79   0.36   0.72   1.14  -2.92
